Confidence Level,Date,Time,Locale,Governorate,Theater,Lat,Lon,Offensive,Delivery,Munition Type,Barrel Bomb Version,Munition Imagery,Chemical Agent,Killed,Injured,Perpetrator,SA,SA 2,JIM,COI,OPCW,SAMS,WHMD,SNHR,LCC,VDC,CAR,Trusted Source,Bellingcat
3,2016-08-01,23:00:00,Saraqib,Idlib,Northwest,35.863558,36.799534,NA,Air,Barrel Bomb,Version 2,Yes,Chlorine,0,30,Syrian Government,SAR010816,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,Closed,https://twitter.com/whitehelmets_sy/status/760239870354792448; https://twitter.com/SyriaCivilDef/status/760514797519704065,Closed,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wOFxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDhcXFwifVwifSJ9,NA,NA,NA,NA
3,2016-08-10,20:30:00,Zabdia,Aleppo,Aleppo,36.200000,37.150000,Battle of Aleppo,Air,Barrel Bomb,Version 2,Yes,Chlorine,4,70,Syrian Government,ALE100816,NA,NA,NA,NA,NA,NA,Closed,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wOFxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDhcXFwifVwifSJ9,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/177661#.XmJd6UBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/177662#.XmJd_UBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/177663#.XmJeEUBFzVg,NA,NA,https://www.bellingcat.com/news/2016/08/13/reports-of-chlorine-gas-that-targeted-civilians-in-aleppo/
1,2016-08-12,NA,Haritan,Aleppo,Aleppo,36.287032,37.083320,Battle of Aleppo,Air,"""Rocket""",NA,No,Chlorine,0,0,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wOFxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDhcXFwifVwifSJ9,NA,NA,NA,NA
3,2016-08-16,NA,Mari',Aleppo,Aleppo,36.4814643,37.1968431,Battle of Aleppo,Ground,Other,NA,Yes,Sulfur Mustard,0,10,ISIS,MAR160816,NA,NA,NA,NA,NA,NA,Closed,NA,NA,NA,NA,https://www.bellingcat.com/news/mena/2016/08/31/evidence-august-16-2016-chemical-attack-marea-isis/
3,2016-09-06,13:00:00,Sukkari,Aleppo,Aleppo,36.200000,37.150000,Battle of Aleppo,Air,Barrel Bomb,Version 2,Yes,Chlorine,2,257,Syrian Government,SUK060916,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,NA,NA,Closed,https://www.facebook.com/search/top/?q=%20%D8%A7%D9%84%D9%83%D9%84%D9%88%D8%B1&epa=FILTERS&filters=eyJycF9hdXRob3IiOiJ7XCJuYW1lXCI6XCJhdXRob3JcIixcImFyZ3NcIjpcIjIxNzg0ODMzODI0MjMxMFwifSIsInJwX2NyZWF0aW9uX3RpbWUiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X21vbnRoXFxcIjpcXFwiMjAxNi0wOVxcXCIsXFxcImVuZF9tb250aFxcXCI6XFxcIjIwMTYtMDlcXFwifVwifSJ9,https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/177950#.XmJeMkBFzVg; https://web.archive.org/save/http://www.vdc-sy.info/index.php/ar/details/martyrs/196709#.XmJeQ0BFzVg,NA,NA,https://www.bellingcat.com/news/mena/2016/09/23/examining-chemical-attack-sukkari-district-aleppo-september-6th-2016/
3,2016-09-15,15:30:00,Um Howsh,Aleppo,Aleppo,36.4142,37.2106,Battle of Aleppo,Ground,Other,NA,No,Sulfur Mustard,NA,2,ISIS,NA,NA,https://reliefweb.int/sites/reliefweb.int/files/resources/N1734930.pdf,NA,NA,NA,NA,Closed,NA,NA,NA,NA,NA
3,2016-09-16,14:00:00,Um Howsh,Aleppo,Aleppo,36.4142,37.2106,Battle of Aleppo,Ground,Other,NA,Yes,Sulfur Mustard,3,8,ISIS,UMH160916,NA,https://reliefweb.int/sites/reliefweb.int/files/resources/N1734930.pdf,NA,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1491-2017_e_.pdf,NA,NA,http://sn4hr.org/wp-content/pdf/english/Nearly_191_Chemical_Attacks_in_Syria_Must_Be_on_the_OPCWs_Agenda_After_Its_New_Mandate_en.pdf,NA,NA,NA,NA,https://www.bellingcat.com/news/mena/2016/09/21/signs-mustard-gas-use-september-isis-chemical-attacks/
3,2016-10-01,NA,Aleppo (M10 Hospital),Aleppo,Aleppo,36.200000,37.150000,Battle of Aleppo,NA,NA,NA,No,NA,NA,NA,Syrian Government,NA,NA,NA,https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg; https://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_CW_12.03.2019_web.jpg,NA,Closed,NA,NA,NA,NA,NA,NA,https://www.bellingcat.com/news/mena/2016/11/09/fact-checking-russias-claim-didnt-bomb-another-hospital-syria/
3,2016-10-01,19:30:00,Kafr Zayta,Hama,Northwest,35.373461,36.601458,NA,Air,Barrel Bomb,Version 2,Yes,Chlorine,0,20,Syrian Government,KAZ011016,NA,NA,NA,NA,NA,https://twitter.com/SyriaCivilDef/status/782586004322586624,Closed,NA,NA,NA,NA,https://www.bellingcat.com/news/mena/2016/10/13/examining-chlorine-attack-kafarzita-hama-october-1st-2016/
1,2016-10-17,NA,Al Lataminah,Hama,Northwest,35.326749,36.621766,NA,NA,NA,NA,No,Chlorine,0,0,Syrian Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
